Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000103933	Gm36964	1	+	8815842	8816039	1.153391	0.234374	0.620166
ENSMUSG00000076135	Gm24276	1	+	8816138	8816247	2.684527	0.545508	1.443441
ENSMUSG00000086195	Gm6152	1	-	8855928	8856267	0.000000	0.000000	0.000000
ENSMUSG00000104504	Gm7445	1	+	8856763	8857102	0.003529	0.000717	0.001898
ENSMUSG00000066693	Gm7493	1	-	8962996	8963621	1.662141	0.337754	0.893715
ENSMUSG00000102316	Gm37629	1	-	9191067	9192116	0.534286	0.108569	0.287280
ENSMUSG00000103819	Gm38008	1	-	9258617	9259134	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9286922	9290180	0.014728	0.002993	0.007919
ENSMUSG00000025912	Mybl1	1	-	9667415	9700209	4.238243	1.398772	3.701220
ENSMUSG00000025911	Adhfe1	1	+	9547948	9580673	16.540266	4.603034	12.179858
ENSMUSG00000079671	2610203C22Rik	1	-	9560832	9631175	0.231789	0.519873	1.375610
ENSMUSG00000081441	Gm6161	1	+	9574548	9575649	5.201959	1.057061	2.797037
ENSMUSG00000067879	3110035E14Rik	1	+	9601199	9627143	549.961487	111.754616	295.708282
ENSMUSG00000045210	Vcpip1	1	-	9718622	9748382	49.163082	9.990157	26.434454
ENSMUSG00000097893	1700034P13Rik	1	+	9747648	9791924	0.158641	0.141560	0.374575
ENSMUSG00000025915	Sgk3	1	+	9798107	9900845	2.116372	3.954700	10.464335
ENSMUSG00000046334	Gm6195	1	-	9802197	9802553	1.260504	0.256140	0.677759
ENSMUSG00000088916	Gm22607	1	-	9834498	9834602	0.000000	0.000000	0.000000
ENSMUSG00000046101	Mcmdc2	1	+	9908638	9942085	2.715687	1.908518	5.050032
ENSMUSG00000098234	Snhg6	1	-	9941959	9944118	17.128460	7.371720	19.505938
ENSMUSG00000093178	Snord87	1	-	9942463	9942549	0.000000	0.000000	0.000000
ENSMUSG00000099032	Tcf24	1	-	9960163	9967932	0.071071	0.014442	0.038214
ENSMUSG00000104025	E330040D14Rik	1	+	9967314	9968687	0.000000	0.000000	0.000000
ENSMUSG00000025916	Ppp1r42	1	-	9968624	10009136	0.246225	0.053475	0.141497
ENSMUSG00000087199	Gm15818	1	+	9982387	9992366	0.457317	0.092929	0.245894
ENSMUSG00000025917	Cops5	1	-	10024601	10038168	46.710716	24.413771	64.600052
ENSMUSG00000056763	Cspp1	1	+	10037987	10136768	3.848400	10.395918	27.508118
ENSMUSG00000102356	1700047N06Rik	1	-	10057025	10057944	0.000000	0.000000	0.000000
ENSMUSG00000100212	Gm5522	1	+	10805281	10806522	0.621578	0.126307	0.334216
ENSMUSG00000067851	Arfgef1	1	-	10137571	10232670	48.535305	17.815517	47.140747
ENSMUSG00000088153	Gm26348	1	+	10166539	10166778	0.512500	0.104142	0.275566
ENSMUSG00000102556	Gm37569	1	-	10197081	10198802	0.347851	0.070685	0.187036
ENSMUSG00000042501	Cpa6	1	-	10324720	10719945	0.959064	0.691128	1.828759
ENSMUSG00000103810	Gm38005	1	-	10449245	10451989	0.054645	0.011104	0.029382
ENSMUSG00000083422	Gm15604	1	-	10554098	10555553	0.076236	0.015491	0.040991
ENSMUSG00000094979	Gm25253	1	-	10555554	10555660	0.000000	0.000000	0.000000
ENSMUSG00000081417	Gm15603	1	+	10695123	10695614	0.154472	0.031389	0.083058
ENSMUSG00000048960	Prex2	1	+	10993465	11303681	26.904165	12.586289	33.303947
ENSMUSG00000077318	Gm24173	1	-	11134111	11134238	0.000000	0.000000	0.000000
ENSMUSG00000101827	Gm28686	1	-	11223566	11224174	0.123153	0.025025	0.066218
ENSMUSG00000101610	Gm7560	1	+	12120960	12121832	0.049714	0.010102	0.026731
ENSMUSG00000093864	Gm22633	1	+	12374936	12375042	1.813084	0.368427	0.974875
ENSMUSG00000097628	Gm2383	1	+	12565577	12566383	0.523916	0.106462	0.281704
ENSMUSG00000057715	A830018L16Rik	1	+	11414105	11975901	26.178402	19.660151	52.021736
ENSMUSG00000103825	Gm38178	1	+	11416918	11419388	1.947794	0.395800	1.047308
ENSMUSG00000099845	Gm29273	1	-	11608139	11608400	0.000000	0.000000	0.000000
ENSMUSG00000103561	Gm38069	1	+	11704207	11706350	0.000000	0.000000	0.000000
ENSMUSG00000025938	Slco5a1	1	-	12866549	12992650	1.030129	0.652728	1.727151
ENSMUSG00000016918	Sulf1	1	+	12692277	12861192	11.069694	10.840715	28.685074
ENSMUSG00000005886	Ncoa2	1	-	13139105	13374083	34.507870	15.235136	40.312923
ENSMUSG00000103506	Gm38376	1	-	13177462	13179714	0.199290	0.040497	0.107156
ENSMUSG00000103495	Gm37409	1	-	13234809	13236434	0.000000	0.000000	0.000000
ENSMUSG00000099183	Gm27881	1	+	13262198	13262279	0.000000	0.000000	0.000000
ENSMUSG00000102639	Gm38223	1	-	13289812	13290506	0.000000	0.000000	0.000000
ENSMUSG00000104170	Gm37702	1	-	13297036	13298907	0.000000	0.000000	0.000000
ENSMUSG00000087782	Gm23169	1	-	13334498	13334609	0.000000	0.000000	0.000000
ENSMUSG00000103085	Gm38120	1	-	13343563	13348204	0.322921	0.065619	0.173631
ENSMUSG00000102664	Gm38380	1	-	13354483	13356730	0.466192	0.094732	0.250666
ENSMUSG00000025935	Tram1	1	-	13564698	13589910	39.857002	10.503593	27.793032
ENSMUSG00000097711	Gm5523	1	-	13785883	13786879	0.847844	0.172286	0.455876
ENSMUSG00000025937	Lactb2	1	-	13623330	13660546	18.191959	4.117754	10.895783
ENSMUSG00000102982	Gm38319	1	-	13641483	13642748	0.296209	0.060191	0.159268
ENSMUSG00000054493	Gm9947	1	+	14752937	14776931	0.641797	0.410014	1.084916
ENSMUSG00000025930	Msc	1	-	14753346	14755992	2.789816	1.391978	3.683244
ENSMUSG00000103492	Gm37412	1	+	14788645	14792965	1.273548	0.258791	0.684773
ENSMUSG00000025932	Eya1	1	-	14168954	14310235	5.450194	2.816034	7.451367
ENSMUSG00000095853	Gm22616	1	+	14182578	14182677	0.000000	0.000000	0.000000
ENSMUSG00000102588	Gm37444	1	-	14255552	14255990	0.000000	0.000000	0.000000
ENSMUSG00000081201	Smt3h2-ps4	1	-	14839869	14840156	5.925374	1.204062	3.186009
ENSMUSG00000082193	Rpl5-ps1	1	+	14865072	14865965	25.365814	5.154446	13.638922
ENSMUSG00000073737	Gm10566	1	-	15268802	15269797	7.808748	1.586772	4.198678
ENSMUSG00000101652	Gm6060	1	-	15760122	15760668	0.000000	0.000000	0.000000
ENSMUSG00000092083	Kcnb2	1	+	15287254	15723750	11.468975	2.560457	6.775097
ENSMUSG00000102937	Gm38116	1	+	15364302	15365834	0.097847	0.019883	0.052611
ENSMUSG00000104149	Gm37138	1	+	15556249	15558337	0.253231	0.051458	0.136160
ENSMUSG00000088829	Gm25227	1	-	15685935	15686046	0.000000	0.000000	0.000000
ENSMUSG00000025925	Terf1	1	+	15805646	15844052	5.859159	2.396429	6.341070
ENSMUSG00000104379	Gm37509	1	+	15853331	15856499	1.051120	0.213592	0.565176
ENSMUSG00000032719	Sbspon	1	-	15853862	15892722	0.205505	0.041760	0.110498
ENSMUSG00000088943	Gm23259	1	+	15879530	15879832	0.000000	0.000000	0.000000
ENSMUSG00000067795	4930444P10Rik	1	-	16065979	16093325	0.558924	0.127065	0.336219
ENSMUSG00000043716	Rpl7	1	-	16101295	16104662	163.487930	74.268524	196.518204
ENSMUSG00000104165	Gm38249	1	-	16208197	16210517	0.257648	0.052355	0.138535
ENSMUSG00000025921	Rdh10	1	+	16105774	16133734	8.953125	2.210497	5.849084
ENSMUSG00000100868	Gm28095	1	+	16228506	16244062	0.000000	0.000000	0.000000
ENSMUSG00000025920	Stau2	1	-	16228674	16520112	47.787178	30.695169	81.220947
ENSMUSG00000089982	Gm7568	1	+	16253592	16267921	0.095866	0.047082	0.124580
ENSMUSG00000025939	Ube2w	1	-	16540790	16619489	9.777493	20.232208	53.535435
ENSMUSG00000102457	Gm38342	1	+	16618560	16621539	0.550325	0.111828	0.295904
ENSMUSG00000079658	Eloc	1	-	16641725	16657042	104.891068	36.946213	97.761520
ENSMUSG00000025779	Ly96	1	+	16688051	16709611	2.969638	0.971527	2.570710
ENSMUSG00000025940	Tmem70	1	+	16665207	16678275	75.658051	17.621897	46.628418
ENSMUSG00000091020	Gm5828	1	-	16768279	16770138	0.381989	0.077622	0.205391
ENSMUSG00000101640	Gm28376	1	+	16898185	17091631	0.000000	0.000000	0.000000
ENSMUSG00000104133	4921511E07Rik	1	+	16930970	16931796	0.000000	0.000000	0.000000
ENSMUSG00000042686	Jph1	1	-	16964560	17097889	26.639940	6.099803	16.140383
ENSMUSG00000099899	Gm28784	1	+	17168403	17173103	0.890232	0.180899	0.478668
ENSMUSG00000100398	Gm5251	1	+	17394958	17395429	0.635593	0.129155	0.341751
ENSMUSG00000101589	Rbm6-ps1	1	-	17397412	17400281	0.091463	0.018586	0.049179
ENSMUSG00000102048	Gm6075	1	-	17429043	17429528	0.163580	0.033240	0.087955
ENSMUSG00000067780	Pi15	1	+	17601901	17630939	0.174346	0.035428	0.093744
ENSMUSG00000100053	Gm28154	1	-	17615084	17641081	0.000000	0.000000	0.000000
ENSMUSG00000025777	Gdap1	1	+	17145362	17164271	49.067352	21.704601	57.431458
ENSMUSG00000085125	Gm16070	1	-	17676027	17727646	0.190060	0.072970	0.193081
ENSMUSG00000025776	Crispld1	1	+	17727045	17766344	8.280620	1.698838	4.495210
ENSMUSG00000099895	Gm28153	1	-	17741915	17805417	0.689316	0.140072	0.370638
ENSMUSG00000099473	Gm18775	1	-	17993010	17999622	0.000000	0.000000	0.000000
ENSMUSG00000099591	Gm17969	1	+	17993813	17997483	0.116934	0.023762	0.062874
ENSMUSG00000109887	Gm28756	1	-	17994462	18059056	2.278405	0.483488	1.279333
ENSMUSG00000102001	Gm28755	1	-	18005961	18016186	0.000000	0.000000	0.000000
ENSMUSG00000101717	Gm45784	1	-	18048100	18058269	0.000000	0.000000	0.000000
ENSMUSG00000100204	Gm4849	1	+	19330939	19333184	0.065895	0.013390	0.035431
ENSMUSG00000089787	Gm15825	1	-	19063300	19104840	0.000000	0.000000	0.000000
ENSMUSG00000042596	Tfap2d	1	+	19103022	19166346	4.296527	1.403065	3.712580
ENSMUSG00000100720	Gm10075	1	-	19153422	19153966	4.409206	0.895970	2.370782
ENSMUSG00000025927	Tfap2b	1	+	19208914	19238576	0.277813	0.075036	0.198550
ENSMUSG00000097934	6720483E21Rik	1	-	20888650	20890473	0.337094	0.068499	0.181252
ENSMUSG00000041859	Mcm3	1	-	20802968	20820312	2.703625	0.913236	2.416468
ENSMUSG00000043760	Pkhd1	1	-	20057779	20618064	0.000000	0.000000	0.000000
ENSMUSG00000104095	Gm37315	1	-	20062070	20065548	0.000000	0.000000	0.000000
ENSMUSG00000089914	4930486I03Rik	1	+	20356452	20392300	0.000000	0.000000	0.000000
ENSMUSG00000090142	Gm15795	1	-	20444258	20444810	0.215315	0.043753	0.115773
ENSMUSG00000070175	Gm24162	1	-	20444811	20444912	0.000000	0.000000	0.000000
ENSMUSG00000100929	Gm28064	1	+	20945711	20946914	0.000000	0.000000	0.000000
ENSMUSG00000041809	Efhc1	1	+	20951626	20990841	0.878623	0.183698	0.486075
ENSMUSG00000100819	Gm2693	1	+	21178988	21187427	0.000000	0.000000	0.000000
ENSMUSG00000041779	Tram2	1	-	20996299	21079229	1.392734	0.290377	0.768352
ENSMUSG00000025931	Paqr8	1	+	20890606	20939650	43.501530	32.423306	85.793686
ENSMUSG00000077314	Gm24171	1	-	20915410	20915540	0.000000	0.000000	0.000000
ENSMUSG00000085507	Gm2709	1	+	21372670	21373764	0.192256	0.039067	0.103374
ENSMUSG00000085079	Khdc1b	1	+	21383556	21386373	0.000000	0.000000	0.000000
ENSMUSG00000025933	Tmem14a	1	+	21218575	21230167	89.641380	20.633465	54.597179
ENSMUSG00000102633	Gm38224	1	+	21234722	21236821	0.285238	0.057962	0.153369
ENSMUSG00000025934	Gsta3	1	+	21240589	21265661	0.594480	0.653158	1.728290
ENSMUSG00000099343	Gm28836	1	-	21250359	21271593	0.000000	0.000000	0.000000
ENSMUSG00000096375	Gm7094	1	+	21272403	21272906	0.000000	0.000000	0.000000
ENSMUSG00000028033	Kcnq5	1	-	21398403	21961942	25.631905	19.169441	50.723297
ENSMUSG00000104138	Gm36949	1	-	21454691	21457017	0.643747	0.130812	0.346136
ENSMUSG00000082935	Gm7658	1	-	21511933	21513056	1.737545	0.353077	0.934259
ENSMUSG00000103748	Gm38243	1	-	21838948	21840514	0.439694	0.089348	0.236419
ENSMUSG00000097109	Gm26580	1	+	21959842	21962530	8.824800	1.793238	4.744998
ENSMUSG00000097970	Gm27028	1	+	23291537	23291935	0.471178	0.095745	0.253347
ENSMUSG00000065567	Mir30c-2	1	+	23291701	23291784	0.000000	0.000000	0.000000
ENSMUSG00000041670	Rims1	1	-	22286251	22805994	184.503403	116.117210	307.251923
ENSMUSG00000097642	Gm26866	1	+	22740764	22741565	0.234414	0.047634	0.126042
ENSMUSG00000097920	Gm7784	1	+	23479539	23480527	0.061173	0.012431	0.032892
ENSMUSG00000026158	Ogfrl1	1	-	23366424	23397772	129.417252	44.046902	116.550293
ENSMUSG00000026154	Sdhaf4	1	-	23995939	24005656	47.838676	12.466194	32.986172
ENSMUSG00000102495	Gm26524	1	+	24005505	24005894	0.000000	0.000000	0.000000
ENSMUSG00000026156	B3gat2	1	+	23761753	23849158	43.026634	9.672936	25.595072
ENSMUSG00000026155	Smap1	1	-	23844846	23922317	29.168955	28.179688	74.564857
ENSMUSG00000102398	Gm37580	1	+	24100625	24103424	0.159286	0.032368	0.085646
ENSMUSG00000026147	Col9a1	1	+	24177610	24252684	0.377999	0.102715	0.271789
ENSMUSG00000026153	Fam135a	1	-	24011093	24100341	21.885118	7.142810	18.900232
ENSMUSG00000086240	Gm7846	1	-	28580499	28580772	0.091241	0.018541	0.049059
ENSMUSG00000026141	Col19a1	1	-	24261890	24587472	14.818918	4.336721	11.475180
ENSMUSG00000077463	Gm26418	1	-	24548841	24548977	0.000000	0.000000	0.000000
ENSMUSG00000099997	Tubb4b-ps2	1	-	24594087	24595423	2.574794	0.523210	1.384439
ENSMUSG00000100131	Gm28439	1	-	24611535	24612410	12335.510742	2506.630371	6632.668945
ENSMUSG00000067736	Gm10222	1	-	24612407	24612700	9153.874023	1860.108032	4921.937988
ENSMUSG00000101939	Gm28438	1	-	24612775	24613119	3681.073975	748.010620	1979.273315
ENSMUSG00000101111	Gm28437	1	-	24613189	24613971	16891.617188	3432.451660	9082.438477
ENSMUSG00000100862	Gm10925	1	-	24613974	24614651	26375.769531	5359.673828	14181.963867
ENSMUSG00000102070	Gm28661	1	-	24614885	24615565	21468.890625	4362.574219	11543.588867
ENSMUSG00000101249	Gm29216	1	-	24615706	24616197	21781.384766	4426.074219	11711.613281
ENSMUSG00000073725	Lmbrd1	1	+	24678630	24766301	69.145187	38.804470	102.678558
ENSMUSG00000099492	Gm5525	1	-	29484604	29485915	1.802464	0.366269	0.969165
ENSMUSG00000100261	Gm6473	1	+	30769687	30771815	0.000000	0.000000	0.000000
ENSMUSG00000033569	Adgrb3	1	-	25067476	25829707	25.068010	18.789051	49.716766
ENSMUSG00000080849	Gm15702	1	+	25223730	25224173	0.000000	0.000000	0.000000
ENSMUSG00000104257	Gm20172	1	-	25276404	25277954	0.096067	0.019521	0.051654
ENSMUSG00000096866	Gm22260	1	-	25279445	25279551	0.000000	0.000000	0.000000
ENSMUSG00000102296	Gm37543	1	-	25284218	25285248	0.290980	0.059128	0.156457
ENSMUSG00000103209	Gm37331	1	-	25296512	25299886	0.266370	0.054128	0.143224
ENSMUSG00000104027	Gm37211	1	-	25314276	25317708	0.000000	0.000000	0.000000
ENSMUSG00000102407	Gm37862	1	-	25325866	25328398	0.176076	0.035779	0.094674
ENSMUSG00000103214	Gm38286	1	-	25345978	25349082	0.478905	0.097316	0.257502
ENSMUSG00000104100	Gm37880	1	-	25362564	25365820	0.390850	0.079422	0.210156
ENSMUSG00000084740	Gm25294	1	+	25451071	25451174	0.394231	0.080109	0.211974
ENSMUSG00000103889	Gm37011	1	-	25608250	25611184	0.051107	0.010385	0.027480
ENSMUSG00000101301	Gm29214	1	-	25614946	25615515	0.115789	0.023529	0.062258
ENSMUSG00000104221	Gm37051	1	-	25620238	25623180	0.203534	0.041359	0.109438
ENSMUSG00000102250	Gm38260	1	-	25672245	25676239	0.524906	0.106663	0.282236
ENSMUSG00000102317	Gm37628	1	-	25686062	25691501	0.246140	0.050017	0.132347
ENSMUSG00000103563	8030445P17Rik	1	-	25722038	25724778	0.599416	0.121804	0.322299
ENSMUSG00000102465	Gm38198	1	-	25735389	25738969	1.036861	0.210695	0.557509
ENSMUSG00000102659	Gm37077	1	-	25755343	25759033	0.121376	0.024664	0.065263
ENSMUSG00000103924	Gm37895	1	-	25775757	25780306	0.032967	0.006699	0.017726
ENSMUSG00000104132	Gm36952	1	-	25797281	25800905	0.000000	0.000000	0.000000
ENSMUSG00000102747	Gm37602	1	-	25804097	25807406	0.297583	0.060470	0.160007
ENSMUSG00000102386	2900022M07Rik	1	-	25808956	25809972	1.147493	0.233176	0.616994
ENSMUSG00000103004	2900002M20Rik	1	-	25824390	25824719	0.000000	0.000000	0.000000
ENSMUSG00000104516	Gm9884	1	+	25830657	25831878	1.563007	0.317610	0.840412
ENSMUSG00000048874	Phf3	1	-	30802339	30873921	23.660927	15.363751	40.653252
ENSMUSG00000103783	Gm37522	1	-	30833548	30836431	0.462899	0.094063	0.248896
ENSMUSG00000104315	Gm37906	1	-	30865504	30868538	0.295881	0.060124	0.159092
ENSMUSG00000070960	Gm19680	1	+	31615149	31616661	1.084270	0.220328	0.583000
ENSMUSG00000026064	Ptp4a1	1	-	30940302	30949770	26.791979	8.796039	23.274757
ENSMUSG00000104433	Gm37426	1	+	32710179	32712648	0.182186	0.037021	0.097959
ENSMUSG00000100481	Gm7114	1	+	33100907	33102695	0.246041	0.049997	0.132294
ENSMUSG00000102917	Gm37724	1	+	33065130	33066350	0.402739	0.081838	0.216548
ENSMUSG00000026058	Khdrbs2	1	+	32172714	32658568	0.709413	1.896854	5.019169
ENSMUSG00000064688	Gm25814	1	-	32213133	32213239	0.000000	0.000000	0.000000
ENSMUSG00000103482	Gm37999	1	+	32473757	32475565	0.000000	0.000000	0.000000
ENSMUSG00000104498	Gm37110	1	+	32485315	32486942	0.037879	0.007697	0.020367
ENSMUSG00000104313	Gm37911	1	+	32496444	32497988	0.484142	0.098380	0.260318
ENSMUSG00000102865	Gm9839	1	-	32519563	32520999	2.882046	0.585645	1.549645
ENSMUSG00000102321	Gm37792	1	+	32539028	32542440	0.263112	0.053466	0.141472
ENSMUSG00000091318	Gm5415	1	-	32543686	32547294	2.039207	0.414376	1.096459
ENSMUSG00000089489	Gm24732	1	-	32568359	32568421	0.000000	0.000000	0.000000
ENSMUSG00000103746	1700001G17Rik	1	+	33669824	33670712	0.337458	0.070071	0.185410
ENSMUSG00000026134	Prim2	1	-	33453810	33669795	3.788565	2.314627	6.124619
ENSMUSG00000101682	Gm29228	1	+	33482101	33482518	0.126794	0.025765	0.068176
ENSMUSG00000102714	Gm37618	1	-	33613758	33616832	0.048455	0.009846	0.026054
ENSMUSG00000102093	Gm17813	1	+	33657781	33658108	0.000000	0.000000	0.000000
ENSMUSG00000004768	Rab23	1	+	33719887	33742564	6.024707	4.148787	10.977896
ENSMUSG00000042215	Bag2	1	-	33745484	33757795	9.002296	3.321707	8.789400
ENSMUSG00000103072	Gm37905	1	+	33748007	33748347	2.890615	0.587386	1.554252
ENSMUSG00000081402	Gm15455	1	-	33836124	33838680	0.734454	0.149244	0.394908
ENSMUSG00000042197	Zfp451	1	-	33761545	33814595	21.718473	9.914934	26.235409
ENSMUSG00000101462	Gm3052	1	-	34415050	34417986	1.155942	0.483927	1.280496
ENSMUSG00000102336	Gm37233	1	-	34427002	34433264	8.971222	1.822992	4.823728
ENSMUSG00000092852	Mir5103	1	-	34433121	34433199	0.499096	0.101419	0.268358
ENSMUSG00000026126	Ptpn18	1	+	34459762	34475733	0.639031	0.976694	2.584382
ENSMUSG00000100280	Gm28417	1	-	34468834	34473148	0.115807	0.084514	0.223629
ENSMUSG00000042111	Ccdc115	1	-	34436670	34439672	19.436296	5.804698	15.359521
ENSMUSG00000101711	Gm28306	1	-	34439511	34444730	1.016541	0.206566	0.546583
ENSMUSG00000026127	Imp4	1	+	34439851	34449356	14.346314	7.372348	19.507601
ENSMUSG00000045815	1700101I19Rik	1	-	34579202	34579711	0.000000	0.000000	0.000000
ENSMUSG00000045174	Amer3	1	+	34579657	34590944	32.109970	6.524889	17.265181
ENSMUSG00000042182	Bend6	1	-	33852052	33907816	12.854389	37.184433	98.391869
ENSMUSG00000104416	Gm37067	1	-	33889490	33891117	1.085381	0.220554	0.583598
ENSMUSG00000026131	Dst	1	+	33908225	34308661	17.631464	37.682564	99.709938
ENSMUSG00000103596	Gm37354	1	+	33922455	33924838	0.438758	0.089158	0.235915
ENSMUSG00000099382	Gm28631	1	-	33963352	33963685	0.000000	0.000000	0.000000
ENSMUSG00000084506	Gm23792	1	-	33981410	33981502	0.000000	0.000000	0.000000
ENSMUSG00000103364	Gm38157	1	+	34032100	34033797	1.716137	0.348727	0.922748
ENSMUSG00000105982	Mir6896	1	+	34117359	34117431	0.000000	0.000000	0.000000
ENSMUSG00000096992	Gm26788	1	-	34165856	34178446	1.571515	0.821762	2.174423
ENSMUSG00000103001	A930005N03Rik	1	-	34269882	34271128	4.149584	0.843214	2.231186
ENSMUSG00000037509	Arhgef4	1	+	34678188	34813309	18.796824	117.820801	311.759705
ENSMUSG00000102537	Gm37224	1	+	34752775	34752922	0.000000	0.000000	0.000000
ENSMUSG00000102612	Gm37845	1	+	34753123	34753477	0.422535	0.085861	0.227192
ENSMUSG00000104002	Gm38336	1	-	34809360	34811908	48.781563	9.912630	26.229315
ENSMUSG00000037503	Fam168b	1	-	34813219	34843065	281.016968	61.151127	161.808914
ENSMUSG00000104358	Gm37127	1	+	34823525	34826560	3.381423	0.687120	1.818154
ENSMUSG00000103708	Gm33222	1	-	36002985	36011044	0.000000	0.000000	0.000000
